datasets/testfiles/rhs_series_2.test

60
RHS changed 
SCIP Version: 8.02
[INSTANCE] rhs_s2_i01.mps.gz
[START] 2023-02-18T01:07:53
[DUALBOUND] -17208.712602100
[END] 2023-02-18T01:08:51

[INSTANCE] rhs_s2_i02.mps.gz
[START] 2023-02-18T01:08:51
[DUALBOUND] -17167.436151164
[END] 2023-02-18T01:09:36

[INSTANCE] rhs_s2_i03.mps.gz
[START] 2023-02-18T01:09:36
[DUALBOUND] -17167.482618062
[END] 2023-02-18T01:10:24

[INSTANCE] rhs_s2_i04.mps.gz
[START] 2023-02-18T01:10:24
[DUALBOUND] -17167.530462696
[END] 2023-02-18T01:11:06

[INSTANCE] rhs_s2_i05.mps.gz
[START] 2023-02-18T01:11:06
[DUALBOUND] -17167.576664778
[END] 2023-02-18T01:11:53

[INSTANCE] rhs_s2_i06.mps.gz
[START] 2023-02-18T01:11:54
[DUALBOUND] -17167.618714167
[END] 2023-02-18T01:12:30

[INSTANCE] rhs_s2_i07.mps.gz
[START] 2023-02-18T01:12:30
[DUALBOUND] -17167.665760974
[END] 2023-02-18T01:13:02

[INSTANCE] rhs_s2_i08.mps.gz
[START] 2023-02-18T01:13:02
[DUALBOUND] -17167.714506767
[END] 2023-02-18T01:13:31

[INSTANCE] rhs_s2_i09.mps.gz
[START] 2023-02-18T01:13:31
[DUALBOUND] -17167.753852180
[END] 2023-02-18T01:14:12

[INSTANCE] rhs_s2_i10.mps.gz
[START] 2023-02-18T01:14:12
[DUALBOUND] -17167.801334602
[END] 2023-02-18T01:14:50

[INSTANCE] rhs_s2_i11.mps.gz
[START] 2023-02-18T01:14:50
[DUALBOUND] -17167.848211168
[END] 2023-02-18T01:15:26

[INSTANCE] rhs_s2_i12.mps.gz
[START] 2023-02-18T01:15:26
[DUALBOUND] -17167.893165736
[END] 2023-02-18T01:16:02

[INSTANCE] rhs_s2_i13.mps.gz
[START] 2023-02-18T01:16:02
[DUALBOUND] -17167.934610728
[END] 2023-02-18T01:16:46

[INSTANCE] rhs_s2_i14.mps.gz
[START] 2023-02-18T01:16:46
[DUALBOUND] -17167.980247321
[END] 2023-02-18T01:17:20

[INSTANCE] rhs_s2_i15.mps.gz
[START] 2023-02-18T01:17:20
[DUALBOUND] -17168.024306680
[END] 2023-02-18T01:17:57

[INSTANCE] rhs_s2_i16.mps.gz
[START] 2023-02-18T01:17:57
[DUALBOUND] -17168.066938582
[END] 2023-02-18T01:18:28

[INSTANCE] rhs_s2_i17.mps.gz
[START] 2023-02-18T01:18:28
[DUALBOUND] -17168.108558948
[END] 2023-02-18T01:19:04

[INSTANCE] rhs_s2_i18.mps.gz
[START] 2023-02-18T01:19:04
[DUALBOUND] -17168.155718781
[END] 2023-02-18T01:19:37

[INSTANCE] rhs_s2_i19.mps.gz
[START] 2023-02-18T01:19:37
[DUALBOUND] -17168.198622532
[END] 2023-02-18T01:20:12

[INSTANCE] rhs_s2_i20.mps.gz
[START] 2023-02-18T01:20:12
[DUALBOUND] -17168.249813263
[END] 2023-02-18T01:20:46

[INSTANCE] rhs_s2_i21.mps.gz
[START] 2023-02-18T01:20:46
[DUALBOUND] -17168.286628411
[END] 2023-02-18T01:21:07

[INSTANCE] rhs_s2_i22.mps.gz
[START] 2023-02-18T01:21:07
[DUALBOUND] -17168.410902396
[END] 2023-02-18T01:21:27

[INSTANCE] rhs_s2_i23.mps.gz
[START] 2023-02-18T01:21:27
[DUALBOUND] -17168.535679580
[END] 2023-02-18T01:21:49

[INSTANCE] rhs_s2_i24.mps.gz
[START] 2023-02-18T01:21:49
[DUALBOUND] -17168.654306635
[END] 2023-02-18T01:22:07

[INSTANCE] rhs_s2_i25.mps.gz
[START] 2023-02-18T01:22:08
[DUALBOUND] -17168.772508469
[END] 2023-02-18T01:22:29

[INSTANCE] rhs_s2_i26.mps.gz
[START] 2023-02-18T01:22:29
[DUALBOUND] -17168.896179013
[END] 2023-02-18T01:22:51

[INSTANCE] rhs_s2_i27.mps.gz
[START] 2023-02-18T01:22:51
[DUALBOUND] -17169.019231527
[END] 2023-02-18T01:23:12

[INSTANCE] rhs_s2_i28.mps.gz
